X [ m ], Y [ m ], Z [ m ], Pressure [ Pa ], Velocity u [ m s^-1 ]
3.55827995e-02, -6.10591006e-03, 6.77909004e-04, -3.11036499e+02, 5.31089878e+00
3.83727774e-02, -8.76828656e-03, 6.78130542e-04, -2.87696655e+02, 3.82330284e+01
4.11627553e-02, -1.14306631e-02, 6.78352080e-04, -2.65974091e+02, 3.81460304e+01
4.39527333e-02, -1.40930396e-02, 6.78573619e-04, -2.47293106e+02, 3.77624130e+01
4.67427112e-02, -1.67554170e-02, 6.78795157e-04, -2.31423004e+02, 3.73881187e+01
4.95326892e-02, -1.94177944e-02, 6.79016695e-04, -2.16455231e+02, 3.70608406e+01
5.23226671e-02, -2.20801719e-02, 6.79238234e-04, -2.03207214e+02, 3.67683182e+01
5.51126450e-02, -2.47425493e-02, 6.79459772e-04, -1.89902893e+02, 3.60102348e+01
5.79026230e-02, -2.74049267e-02, 6.79681310e-04, -1.77546021e+02, 3.32665558e+01
6.06926009e-02, -3.00673041e-02, 6.79902849e-04, -1.61619370e+02, 3.17800026e+01
